country,description,designation,points,price,province,region_1,region_2,variety,winery
Australia,"Elderton is making classically styled Barossa Shiraz, marrying raspberry fruit with rich chocolaty overtones and wrapping them in a soft cocoon of supple tannins and balanced acidity. Drink now–2014.",,90,28.0,South Australia,Barossa,,Shiraz,Elderton
Italy,"This expression of Petit Verdot from Maremma in southern Tuscany boasts thick concentration and lively aromas of prune, plum, black fruit, root beer, peppercorn and licorice. It's still raw in the mouth and needs time; drink after 2010.",A Solo,92,55.0,Tuscany,Maremma,,Petit Verdot,Guicciardini Strozzi
US,"Way too much residual sugar in this wine, to judge by the white-sugary finish. It's clean and fruity wine, but really should be labeled off-dry or even sweet.",,81,14.0,California,Dry Creek Valley,Sonoma,Zinfandel,STG
US,"This 100% Cabernet Sauvignon is distinct in herb and peppercorn, the red fruit warm and juicy. Layered and soft, it's approachable and ready to enjoy now.",Estate,88,60.0,California,Oakville,Napa,Cabernet Sauvignon,Ghost Block
US,"Very dry, this Riesling shows tart acidity, with apricot, green apple, citrus and floral flavors, and a tug of stony minerals. It's a severe wine, but well-structured and elegant. Fine as an apéritif sipper.",,87,28.0,California,Napa Valley,Napa,Riesling,Villa Andretti
France,"A blend of Colombard and Ugni Blanc, this is crisp and lively. It has a wonderfully fruity tang, and is packed with flavors of citrus fruit and green apple juice. Screwcap.",Colombelle L'Original Blanc,86,9.0,Southwest France,Côtes de Gascogne,,White Blend,Producteurs Plaimont
France,"Strawberry flavors dominate the intense acidity and fresh fruit. There is a banana flavor that gives it sweetness, the light tannins just offering some contrast.",Beaujolais Nouveau,83,13.0,Beaujolais,Beaujolais,,Gamay,Bouchard Aîné & Fils
US,"Bright berry and red-currant aromas. Lighter in style than Cabs being produced by other LI wineries. The finish turns tough and leathery, not a good match for the delicate fruit.",Mudd Vineyard,82,19.0,New York,Long Island,Long Island,Cabernet Sauvignon,Channing Perrine
Uruguay,"Earth, saddle leather and roasted berry aromas lead the meaty nose to a round, mildly tanninc palate that's holding full plum and berry flavors. For Uruguay, this is a nice wine that hits on the proper cylindars. But in the long run the oak is a bit weighty and the balance seems tenuous. Good by local standards.",Adagio Espressivo,86,30.0,Canelones,,,Red Blend,Toscanini
Italy,"Young Rodolfo Cosimi carries forth the legacy of his winemaker father, Roberto, with this spectacularly expressive and elegant wine. Endless layers of aromas: cedar wood, cherry, forest berry, mint tea, black licorice, dried spices and vanilla. Long finish, lip smacking, firmly tannic and ageworthy. Imported by Enotec Imports, Inc.",Podere il Poggiolo,93,50.0,Tuscany,Brunello di Montalcino,,Sangiovese,Roberto Cosimi
US,"This is a Cabernet-based Bordeaux blend, with grapes coming from the Yountville area. It's a bit soft and direct in chocolate-infused blackberries and cherries, but outstanding Napa tannins give it an elegant mouthfeel. Drink now through 2010.",Choreography,87,50.0,California,Napa Valley,Napa,Red Blend,Fleming Jenkins
Spain,"A juicy, prickly wine with pungent red-fruit aromas backed by tangy cherry, raspberry and currant flavors. It's firm and tight, entirely reflective of the cool vintage, and the bet here is that it's unlikely to ever lose that inherent toughness. Needs food to absorb the crispness. Imported by Tempranillo, Inc.",Reserva,87,77.0,Northern Spain,Rioja,,Tempranillo,Remírez de Ganuza
France,"This no-herbicide, hand-picked, hilltop Merlot-Cabernet Sauvignon-Petit Verdot blend is rich with attractive acidity and ripe strawberry fruits. Its tannins present a structure for fruity texture. A wine from Bordeaux wine guru Professor Denis Dubourdieu's stable, it has concentration and a dense dark aftertaste. Drink from 2017.",,88,24.0,Bordeaux,Cadillac Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Reynon
Chile,"Rubbery and roasted, with charred aromas that suggest compost and burning brush. The palate has size and plumpness, but the flavors are damp and roasted, with meatiness overriding fresh fruit. Lush but earthy and burnt tasting.",,83,9.0,Central Valley,,,Shiraz,San Elias
Spain,"Floral soupy plum aromas come with notes of road tar, violet, lavender and grass. This has a jammy, saturated, chunky mouthfeel to go with plum and spiced-berry flavors. Exotic notes of cardamom and clove are key to a spicy finish. This is a blend of Monastrell, Tempranillo and Cabernet Sauvignon.",Blés Crianza Organic Wine,88,19.0,Levante,Valencia,,Red Blend,Aranleón
US,"A harsh, nasty Pinot Noir. It's just barely recommendable for the cherries and silky texture.",,80,25.0,California,Sonoma Coast,Sonoma,Pinot Noir,Adler Fels
Australia,"Not a fruit bomb at all, this is a harmonious Cabernet, one that gracefully combines cedar and vanilla from oak aging with richly textured cassis fruit. It's full bodied and firmly structured, with a long, elegant finish. Drink 2014–2020.",Eric Stevens Purbrick,91,51.0,Victoria,Nagambie Lakes,,Cabernet Sauvignon,Tahbilk
US,"This full-bodied, 100% Cabernet is lightly gamy, offering a sensuous potpourri of wild herbs and brambly berries. It's subtle, lovely, distinctive, smoothly rendered and unusually textural and complex. Drink it with enjoyment now, or give it a few more years in the cellar.",,92,42.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Bunchgrass
US,"Smells caramelly and rich in blackberries, and then turns semi-sweet in the mouth, with cassis, chocolate and coffee flavors. The tannins show up on the finish.",Zinfandel Port,84,35.0,California,Napa Valley,Napa,Zinfandel,Pope Valley Winery
US,"This is a young, vigorous Cabernet Sauvignon. It's tannic, in the way of Spring Mountain, and very tightly wound, with a central core of black currants and minerals. Its pedigree is evident throughout, but it's a wine you want to age before opening. Hold until 2012, and it should provide good drinking for years beyond.",30th Anniversary,92,45.0,California,Napa,,Cabernet Sauvignon,Keenan
US,"An unusual blend of Petit Verdot and Syrah, this shows a green peppercorn streak to the modest cherry fruit flavors. Medium-bodied, very dry and pretty tannic, could use more richness and depth, especially at this price.",Signature,85,34.0,California,Paso Robles,Central Coast,Red Blend,Vina Robles
US,"A dark-red color, aromas like dark chocolate, flavors recalling black cherry, and a dry rather than sweet taste make this a great wine for a special meal. It has layers of fruit, a bit of smoke, and lots of fine tannins that pile up for a rich mouthfeel and lingering finish.",Hybrid Red Organic Grapes,89,13.0,California,Mendocino,Mendocino/Lake Counties,Red Blend,Girasole
US,"Nice and dry, with good varietal flavors of blackberries and currants, wrapped into rich tannins. It's a fine Cabernet to drink with ordinary food, and a good value.",Running with the Bulls,86,10.0,California,North Coast,North Coast,Cabernet Sauvignon,Salvatore Principe
US,"This is a good Pinot Noir, but it lacks a certain vitality and complexity. The cherry flavors have an herbal, mushroomy edge. Would score higher if it had greater structural depth.",,86,30.0,California,Carneros,Napa-Sonoma,Pinot Noir,Clos du Val
France,“Sans Soufre Ajouté” means without added sulfur; the wine has a considerable sediment that needs time to settle. It is a wine full of ripe fruit and toasted popcorn. It has a round mouthfeel.,Sans Soufre Ajouté,84,,France Other,Vin de France,,White Blend,Henri Milan
US,"Full-flavored, broadly-displayed and engaging with a mix of cranberry, raspberry and Bing cherry, this tasty Pinot Noir fills in the back end with pleasing barrel flavors. Buttered toast and caramel give it a smooth and creamy finish, and the alcohol is right at 13.5%.",Marylhurst Estate,89,36.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Vista Hills
Italy,"Here's a brightly pink, almost ruby-colored rosé with aromas of wild berries, pomegranate and even a touch of ground clove that adds a spicy flavor to the finish. The wine offers a full array of berry flavors and delivers very good quality for your dollar.",Rosato,86,10.0,Sicily & Sardinia,Sicilia,,Rosé,Cusumano
France,"A high-altitude vineyard has produced this delicious, crisp and cool wine. While it has weight and rich fruit, it's the enticing acidity that sets this wine apart. There's a poise to this wine that gives style while not losing any depth of apple, pear and spice flavors. Drink from 2017.",Rotenberg Wintzenheim,93,60.0,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
South Africa,"The Jonkershoek Valley receives more rain than almost anywhere else in South Africa, but that hasn't negatively affected this wine. Big, chewy  and warm, at 15% alcohol, this Shiraz has solid tannins and flavors of blueberry, coffee, earth and a touch of vanilla. The nose offers much of the same, with semisweet chocolate adding to the complexity. Finishes with good length and plenty of spicy fruit. Imported by Vineyard Brands.",Vineyard Selection,89,43.0,Jonkershoek Valley,,,Syrah,Neil Ellis
Germany,"Raimund Prüm's Blue Slate is developing into a consistent performer, marrying hints of ripe fruit—peach or nectarine and melon—with crisp citrusy notes and an underlying minerality that gives it an almost dry finish. Drink now.",Blue Slate Kabinett,86,17.0,Mosel-Saar-Ruwer,,,Riesling,S.A. Prüm
France,"One of a pair of gorgeous Petit Manseng-based dessert wines by Claude Loustalot, this has richness but also lightness from the fresh acidity. This is fruity and fragrant, with a peach-like crispness, and it's worth keeping for another 3–4 years.",La Quintessence,92,50.0,Southwest France,Jurançon,,Petit Manseng,Domaine Bru-Baché
US,"Polished cherry, blackberry and coffee fruit flavors comprise this Merlot. It's bone dry, with rich tannins and a smattering of oak. Has a jagged quality that's not likely to age out, but it's a pretty good wine.",,85,15.0,California,Monterey,Central Coast,Merlot,Jekel
US,"Roast beef, grape candy, cracked blueberry, beef char and grapy freshness come to the nose on this bottling. The candied grape and blueberry elements carry dark-fruit character to the palate, along with licorice that gives depth. Roasting herbs in the midpalate adds savory flair.",Lila's Cuvee,90,50.0,California,Central Coast,Central Coast,Rhône-style Red Blend,Clos La Chance
Italy,"The Farina family was among the first to market this unique wine abroad. The Monte Fante cru smells like an opulent dessert: crème brûlée, brown sugar, sweet chocolate, toasted coconut, butterscotch, poached cherries and caramel candy.",Monte Fante,91,60.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Remo Farina
US,"Dry and gritty in texture, with hard-edged, jagged tannins, this wine is very ripe. It has strong black cherry, blackberry and coffee flavors, and needs to be decanted before serving.",Meritage,84,15.0,California,Sonoma County,Sonoma,Cabernet Blend,Lyeth
France,"85-87 Barrel sample. There are very ripe red fruit aromas in this wine, layered with acidity. The palate is also ripe, but with tannins that are dry, solid and dominant in the aftertaste. A wine that is pretty tough at this stage.",Barrel sample,86,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Greysac
US,"This is the first varietal bottling, though Malbec has been part of the winery's Claret blend for some time. Complex, tight, balanced and full, it carries a strong tobacco and vanilla streak along with the black cherry fruit that runs through the middle. The fruit is sappy and firm, also displaying cranberry and rosewater notes, black berry and coffee liqueur.",,90,22.0,Washington,Horse Heaven Hills,Columbia Valley,Malbec,Robert Karl
US,"With its solid cherry and vanilla aromas and flavors and creamy-textured, medium-weight mouthfeel, this is a nice California Cabernet. But where's the stuffing and complexity?",Reserve,86,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sterling
US,"This is the winery's mass-production, off-dry bottling, reliable and versatile. Flavors mix peach, nectarine, honeycomb and lemon tea, with a nice fullness through the finish.",Cellarmaster's,87,12.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Columbia Winery
US,"Gets the job done with its rich tannins, crisp acids and solid blackberry, mocha and orange zest flavors. Easy to drink, and ready now. Production was 1,685 cases.",,86,20.0,California,Monterey,Central Coast,Syrah,Morgan
Chile,"This smells gritty and herbaceous. In the mouth, it's narrow, tannic and astringent, with flavors of lemony oak sitting on top of black fruits, olive and green herbs. Overall this is a green-leaning wine with a rooty, herbal finish.",Unfiltered,84,28.0,Casablanca Valley,,,Cabernet Franc,Loma Larga
Argentina,"Candied black cherry aromas give this a sweet, rich outlook. The palate is bold and heavy, with ripe cassis and other heavy fruit flavors. It's a big, extracted wine that could use more balance and structure. To this taster, it seems denser and duller than past vintages. Frankly it's syrupy and chocolaty on the back palate and finish.",Ultra,86,25.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Kaiken
France,"Full and ripe, the wine's lush texture demonstrates the dominance of Merlot. It also has a dense, tannic character that pushes through the rich fruit, lending balance and aging potential. Keep this for at least five years.",,89,18.0,Bordeaux,Montagne-Saint-Émilion,,Bordeaux-style Red Blend,Château Croix de Mission
France,"Big and dense, now developing well, the wine shows richness and complex fruit flavors as well as spice and dusty tannins. Licorice and dark chocolate go with damson plum flavors, never losing sight of the final juicy acidity.",,90,35.0,Bordeaux,Moulis-en-Médoc,,Bordeaux-style Red Blend,Château Dutruch Grand Poujeaux
US,"Though De Loach's Lake County Zinfandel—a regular in the producer's line-up of prominent wines—is a departure of form in its big-boned nature, it is entirely in keeping with its sister wines in terms of balance. Fragrant and spicy, with a depth of blackberry fruit, the finish is long and satisfying. This is a fine food-pairing wine.",Nova Vineyard,92,32.0,California,Lake County,Mendocino/Lake Counties,Zinfandel,De Loach
US,"Oaky, with dominating aromas and flavors of butterscotch, vanilla custard and meringue. Underneath all that are ripe pineapple and golden mango flavors.",Castello Vineyard,86,26.0,California,Alexander Valley,Sonoma,Chardonnay,Huntington
US,"Benton-Lane makes quite a lot of Pinot Gris, stainless-steel fermented and whole cluster pressed, yielding a soft, fragrant, fruity wine with plenty of fresh pear flavor. It flattens out broadly across the palate, full-bodied and lightly spicy. Just a bit more focus would really elevate this wine to the top ranks.",,88,17.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Benton-Lane
Argentina,"Smooth and consistent Malbec from Cafayate is what Michel Torino is all about. Don David is a higher-aiming effort, and while it shows a touch of northern Argentina's herbal, sun-affected characteristics, it's also a well-balanced, formulaic Malbec that hits all the markers: good color, nice body, friendly tannins and plenty of oak.",Don David Reserve,88,15.0,Other,Cafayate,,Malbec,Michel Torino
US,"A multivarietal, multivintage blend of various reds going back to 1997, this wine is very dry and, in its own way, complex. The older wines soften it and lend dried fruit notes, the younger ones keep it vibrant with a suggestion of red cherries and sweet tobacco. The end result is really fascinating.",Ol' Red,88,12.0,California,California,California Other,Red Blend,M. Cosentino
US,"With apricot, pineapple, rice wine vinegar and white sugar flavors, this wine tastes like a sweet-and-sour sauce in a Chinese restaurant. The acidity is emphasized on the prickly finish.",Angeline,83,14.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Martin Ray
France,"Subtitled Vin de Lune, moon wine, because the grapes were harvested at night. That has allowed the wine to preserve its freshness with lively acidity and fresh red currant flavors.",Clos Triguedina Le Rosé du Clos,86,,Southwest France,Vin de Pays du Comté Tolosan,,Malbec,Jean-Luc Baldès
US,"Here's a wine that has some pleasant features, namely the gentle tannins and fine, oaky veneer. But the fruit is thin, and the wine stuggles to impress the palate with depth. Seems seriously overpriced. Mostly Cab Sauv, with Merlot and Cab Franc.",Red Wine,84,50.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Juslyn Vineyards
Argentina,Sweet cotton candy and mocha aromas come across as confected and work to obscure a high-acid palate that offers a slight hint of chocolate and mint. More oak comes up on the finish.,,82,10.0,Other,Famatina Valley,,Syrah,Condor's Summit
France,"A finely balanced Graves that shows wood, rich spice and toast as well as honey and smooth fruit flavors. It's an elegant, food-friendly wine. The release of this nearly 5-year-old wine shows just how well Graves wines can age.",Cuveé Clara,88,16.0,Bordeaux,Graves,,Bordeaux-style White Blend,Château Prieuré-les-Tours
US,"As sweet as a dessert wine, with simple flavors of sugared blackberries, cherries and mocha. Clumsy and rustic.",Abba Vineyard,80,25.0,California,Lodi,Central Valley,Syrah,Rosenblum
US,"A block-designated wine, this shows both purpose and focus, offering a linear expression of stony minerality, crisp lemon and peach. To complement that vibrant freshness, there is a fullness of mouthfeel and a nuanced gravelly texture.",Estate Grown Drummond Block,91,29.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Beltane Ranch
Portugal,"This smooth, rounded wine has touches of wood aging, along with a herbaceous character just now beginning to soften and fill out. It has a light touch of spice along with apple and tangerine notes. Ready to drink.",Contraste Branco,88,,Douro,,,Portuguese White,Conceito Vinhos
US,"Something like a cross between a silky Pinot Noir and a soft Merlot, this is a gentle, fruity wine, with berry, tobacco, cola and spice flavors. A nice scour of tannins suggests this will pair with rich, oily meats and cheeses.",,86,16.0,California,Sonoma County,Sonoma,Sangiovese,Valley of the Moon
Portugal,"Big, ripe and fruity, this is a warm and rounded wine made from old vines. Soft tannins are well integrated into the smoky wood flavors and blackberry fruits. By late 2014, it will be a full-bodied wine.",Vinhas Altas,90,10.0,Tejo,,,Portuguese Red,Caves Velhas
Portugal,"Bright pink in color, this is a fresh wine with some citrus character that gives crispness. A sweeter side shows at the end and gives a soft aftertaste.",,86,10.0,Tejo,,,Rosé,Quinta do Casal Branco
Argentina,"Honeysuckle and other sweet aromas greet you. In back of that there are flavors of pineapple, mango and apple. This runs crisp and tangy with more lemon-drop character than butter or vanilla.",Finca la Daniela,84,10.0,Mendoza Province,Mendoza,,Chardonnay,Bodega Familia Barberis
France,"Under the same ownership as Château la Dominique in Saint-Emilion, this estate continues to make impressive wine. With its subtle tannins and ripe berry fruits, it is structured while never letting the tannins overwhelm the fruit. It is an impressive wine to age, so drink from 2021.",,91,30.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Clément-Pichon
US,"Soft and melted, lacking structure. Lacking tannins and acidity. Tastes like liquid raspberry- cherry- and chocolate -pie filling, with alcohol and an overlay of caramelized oak.",,84,36.0,California,Santa Ynez Valley,Central Coast,Syrah,Reeves Ranch
France,"Very tight and crisp, this is an intensely dry wine with pristine citrus and apple-skin aromas and flavors. A steely, nervy, mineral character lends the wine a distinct ageability. Drink now–2022.",Extra Brut Grande Tradition,90,80.0,Champagne,Champagne,,Champagne Blend,Jeaunaux-Robin
US,"This is the kind of wine that negociant Don Sebastiani & Sons produces so well. For an everyday price, you get a pretty nice Cabernet, dry and spicy, with a good punch of berry fruit.",,87,12.0,California,Napa Valley,Napa,Merlot,SKN
US,"Delicious and spicy, if a little too soft in structure. Swamps the mouth with ripe, fruity flavors of cherries, raspberries, currants and cola, with lots of savory black pepper.",Estate,86,25.0,California,Sonoma Valley,Sonoma,Syrah,Wellington
US,"The flavors of this medium-bodied wine are hearty, with bell pepper, black pepper and green olive notes, and in this vein it's tasty and fairly concentrated. The balance is good, the palate sensation is nicely dry and the finish lingers a bit.",Hybrid,87,10.0,California,Lodi,Central Valley,Cabernet Sauvignon,Peltier
US,"This is one of the most successful Syrah-Cabernet Franc blends in California. The Syrah brings blueberry and bacon flavors, and the Cabernet provides the black currant note and the tannic backbone. It's already delicious to drink, but allow it to breathe in a decanter for one or two hours.",Wavelength Sugarloaf Mountain Vineyard,92,69.0,California,Napa Valley,Napa,Syrah-Cabernet Franc,World's End
Spain,"Heavy, minty and smelling of shoe polish, barrel char and black licorice. The palate is chunky but overall it has pretty good structure. Meanwhile, the flavors of raspberry and plum carry a heavy oak influence. Spice and resin, additional reflections of the oak, dominate the finish.",Selección,84,17.0,Northern Spain,Rioja,,Tempranillo,Cueto
Chile,"Dense in color, with earthy, crusty aromas of baked berry, moss, tobacco, cola and cassis. Feels lush, meaty and deep, with tobacco, balsamic flavors, baked blackberry and chocolate. Mellow, lightly herbal and smooth on the finish; hits all the high marks. Drink now.",Terrunyo Vineyard Selection Block 27 Unfiltered,91,38.0,Peumo,,,Carmenère,Concha y Toro
Spain,"Colorful and pretty to look at, but a little sweet. The nose has a sweet, maple syrup element along with dry berry fruit aromas. It's healthy and fresh in the mouth, with citrus, cranberry and raspberry flavors. Simple and nice for easy drinking.",Anna de Codorniu Brut Rosé,86,15.0,Catalonia,Cava,,Sparkling Blend,Codorníu
Chile,"As blends go, this is a winner. The nose is spicy and wild, with blackberry, cola, fine leather and earthy qualities. Lush and concentrated in the mouth, with meaty, herbal flavors of cola and blackberry. Toast and pepper notes lend darkness to the finish, and overall this is a grand, ripe thoroughbred made from six grapes including Syrah, Cabernet and Carmenère. Drink now through 2013.",Coyam,91,34.0,Colchagua Valley,,,Red Blend,Emiliana
Austria,"Big, rich and oily, with intense aromas of smoke and nut oil that build on the palate into flavors of peach kernel, spice and layers of minerality. A long, mouthcoating finish cinches this wine's quality. The only catch is that of 800 cases produced, only 25 are scheduled to be imported to the U.S.",Hohenberg,92,23.0,Donauland,,,Grüner Veltliner,Josef Ehmoser
US,"A classy Cabernet, this wine shows the potential of this emerging San Benito County appellation. It's dry and smooth, with firm but supple tannins that provide grip to the blackberry, cherry and black currant flavors.",Ezio,90,40.0,California,Paicines,Central Coast,Cabernet Sauvignon,Donati
New Zealand,"This wine shows some intriguing complexity in its herbal, leafy aromas tinged with woodsmoke and berries. It's medium-bodied, with tart berry flavors and some slightly astringent, tea-like notes on the finish. Drink now–2012.",,85,25.0,Central Otago,,,Pinot Noir,Stone Paddock
France,"Richness combined with minerality. Quince, honey and white pears are the dominant characters in this powerful, round wine; however, with its hot pepper element, this tastes of its alcohol. The acidity is here, but lost in the wood.",Le Bel Ouvrage,88,30.0,Loire Valley,Savennières,,Chenin Blanc,Damien Laureau
Italy,This (mainly) Sangiovese does have a small Syrah component that explains its thicker texture and tighter tannins. The wine also seems on the ripe side with aromas that recall berry preserves and strawberry backed by almond paste and tobacco.,,86,,Tuscany,Toscana,,Red Blend,Capoverso
Argentina,"Black as night, with aromas of leather, wild berries and wet dog. It is salty and oaky in the mouth, with vanilla and tannin but not a whole lot of ripe, lovable dark fruit. Gets better as it evolves, but where's the dark, sweet fruit to match the oak, tannins and tightness?",Limited Edition,85,25.0,Mendoza Province,Mendoza,,Bonarda,Nieto Senetiner
US,"Thin and harsh in mouthfeel, with flavors of red cherries, wintergreen, cocoa and sandalwood.",,83,20.0,California,Santa Ynez Valley,Central Coast,Grenache,Sheldon
Portugal,"This wine features soft apple and pear fruit with light tannins and grapefruit freshness. It is clean, well-made and ready to drink.",Branco,84,7.0,Alentejano,,,Portuguese White,Finisterra
Italy,"Pio Cesare's Barbera is a modern interpretation of a traditional grape, and a well-done one at that. Refined notes of mocha, cinnamon and vanilla vie with vibrant strawberry fruit while lively acidity lifts and supports the wine. Coffee notes dominate the perfumed, medium-length finish.",,88,22.0,Piedmont,Barbera d'Alba,,Barbera,Pio Cesare
France,"Piercingly fresh Pinot Noir, with red berry flavors and vibrant acidity. The grapes were probably only just ripe, and there is a hint of green here, but Ambroise has made a deliciously crisp red wine, soft, ready to drink. Screwcap. Imported by Robert Kacher Imports.",Aries,85,52.0,Burgundy,Bourgogne,,Pinot Noir,Bertrand Ambroise
Spain,"This leans a little green and soda-like on the nose, but it picks up clarity and speed on the palate, which carries a tangy, citric snap. It tastes of citrus and lees, and the finish is medium in length and healthy.",Brut Reserva,88,21.0,Catalonia,Cava,,Sparkling Blend,Agustí Torelló Mata
New Zealand,"Although the stars at Saint Clair are the Reserve and Pioneer Block wines, the regular SB bottling has maintained a high level of quality. The 2008 boasts exuberant passion fruit and grapefruit aromas and flavors, backed by fresh, grassy notes. It's medium in body, with a mouthwatering, fresh finish.",,88,17.0,Marlborough,,,Sauvignon Blanc,Saint Clair
US,"Light in color for a Cabernet, this conveys black currant, fresh blackberries and coffee. It's a bit thin in the middle but remains pleasant and straightforward on the edges.",,85,11.0,Idaho,,,Cabernet Sauvignon,Ste. Chapelle
New Zealand,"Smoky and fruity upfront, reminiscent of wood-grilled white peaches, but tinged with hints of toasted hazelnut and pineapple as well. This is full-bodied yet reined in by the intense, citrus-zest finish. Drink it over the next 5–7 years.",Hunting Hill,92,42.0,Kumeu,,,Chardonnay,Kumeu River
Spain,"Simple at best early on, with leathery, rustic aromas and a truly basic set of flavors. Should you allow it to breathe, it rounds into a good (but still basic), semisoft and fruity red with solid cherry/berry flavors and nothing offputting.",Tinto,84,8.0,Northern Spain,Campo de Borja,,Red Blend,Coto de Hayas
Italy,"Subtle aromas of yellow peach, golden apple and honeydew melon lead off. However the palate is rather lean, with citrus and mineral notes alongside bracing acidity but not much fruit richness.",Monte San Piero,86,27.0,Veneto,Soave Superiore,,Garganega,Sandro de Bruno
US,"Sacrashe is a great vineyard, technically in Rutherford but really in the Vaca Mountains, 750 feet high east of the Silverado Trail. Its Cabernets always are balanced and intense. Surh Luchtel has produced an oaky Cab defined by tight tannins, and although they're of the sweet modern kind, this classic, balanced, black currant-rich wine is one you want to cellar for five to eight years.",Sacrashe Vineyard,93,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Surh Luchtel
South Africa,"Truly a unique Shiraz, with its smoky, leathery and black olive aromas, followed by flavors of black cherry and spice. While appealing overall, it has a slightly syrupy, raisiny quality and some roughness on the palate that distracts slightly from the flavors. This is not really a problem for fans of wines that push the envelope a bit.",,84,20.0,Western Cape,,,Shiraz,Hercules Paragon
France,"Attractive, simple Bordeaux, its acidity kept nicely in check by bright black berry fruits, some sweet tannins and a well- judged amount of wood. For drinking now.",Arte,87,16.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Mähler-Besse
Spain,"Smells lightly burnt and acrid, with stemmy berry aromas, apricot and match stick. The palate has a flat, creamy feel and stemmy, dry flavors of generic berry and bitterness. Too flat and devoid of fruit to rate higher.",Viña Main Rosado Tempranillo,82,12.0,Central Spain,Vinos de Madrid,,Rosé,Bodegas Orusco
US,"A little on the simple side, but a pretty good everyday Chardonnay. It has nice, slightly sweet flavors of apricots, pineapples and sweet vanilla oak, offset with bright acidity.",,85,9.0,California,California,California Other,Chardonnay,Lucky Star
Spain,"Mami Mia, this is heavy stuff. The nose on this Garnacha-Graciano mix is muddled and rubbery, while the palate is saturated but murky. Finishes almost salty, with a hint of the veggies. A loud wine that doesn't really say anything.",,82,13.0,Northern Spain,Navarra,,Garnacha-Graciano,Casita Mami
US,"Fruity and soft, a cloying wine with medicinal cherry flavors.",Kiara Private Reserve,80,20.0,California,Paso Robles,Central Coast,Syrah,Sylvester
US,"Sineann's Champoux vineyard Merlot is barely out of barrel, tight, bright and spicy with sharply-defined flavors of red berries and red licorice. Though it passes 15% alcohol, it is neither sweet nor unctuous; the fine acidity cuts through beautifully. This will certainly benefit from a few more years of cellaring.",Champoux Vineyard,91,35.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Sineann
US,"This wine offers some blackberry aromas and flavors. On the downside are herbaceous green notes, especially on the rather sharp finish. It's a thin wine.",Vineyard Reserve,82,10.0,California,California,California Other,Merlot,Bandiera
US,"Sharp in acids and jammy, this simple, everyday Merlot offers raspberry, cherry, anise and spice flavors that finish slightly sweet.",,82,11.0,California,California,California Other,Merlot,Stephen Vincent
Australia,"To me, Glen Eldon's Dry Bore Shiraz exemplifies many of the positive attributes of Barossa Shiraz. The blackberry fruit is powerful, complemented by copious vanilla and toast notes from oak maturation. There's plenty of weight and concentration, but no excessively dry or hard tannins—in fact, it's almost silky. Finally, there's the promise of leathery complexity to come, all at a realistic price.",Dry Bore,92,29.0,South Australia,Barossa,,Shiraz,Glen Eldon
Portugal,"This is a bone-dry, piercingly fresh wine. It has tense acidity and a mineral texture that would make it delicious as an accompaniment to seafood. The wine is crisp, refreshing and bright.",Quinta de Lourosa,88,8.0,Vinho Verde,,,Portuguese White,Dão Sul
US,"This wine's aroma evokes a thicket of strawberries and blackberry bramble, feeling densely ripe yet bright with fruit. The finish veers towards sweeter notes of cola and vanilla.",Tori Reserve,88,60.0,California,Dry Creek Valley,Sonoma,Zinfandel,Wilson
US,"Campfire smoke presents a hearty, full-throttled introduction to this rugged wine, grippy, with offerings of red and black berry layered against tar and dark chocolate.",Baron Vineyard,87,35.0,California,Sonoma County,Sonoma,Cabernet Franc,Wellington
Spain,"Plum, berry and a noticeable oaky streak define the bouquet on this well-built Rioja. Flavors of raspberry and plum are creamy and end with thickness and full-bodied grip that's balanced off by good acidity. This is perfectly good, healthy and adequately fruity, yet woody.",Viña Zaco,87,15.0,Northern Spain,Rioja,,Tempranillo,Bodegas Bilbainas
Italy,"Judging from the appearance of this crystalline and seemingly colorless wine, you can anticipate that it might be one of those watery expressions of Pinot Grigio that we see so much of in the USA. Sure enough: this wine offers very little in terms of aromatics or density.",,83,,Veneto,Veneto,,Pinot Grigio,Oggi!
US,"Same vineyards as the '04, but a riper, deeper, denser vintage. This is good Washington merlot, with muscle, extract and plenty of stuffing. Flavors run to the dark side, blue/black fruits, mineral, licorice, smoke. It's got the kind of mass that will stand up to all meats, and the balance to age over the next decade or so. Nicely built, still tight and chewy.",,89,28.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Tamarack Cellars
